% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.049	1	4	5	10	3	28	549	0	0	0
0.049	1	2	5	10	4	28	549	0	0	0
0.05	1	3	6	1	1	28	549	0	0	0
0.05	1	1	6	1	2	28	549	0	0	0
0.05	1	4	6	1	3	28	549	0	0	0
0.05	1	2	6	1	4	28	549	0	0	0
0.051	1	3	6	2	1	28	549	0	0	0
0.051	1	1	6	2	2	28	549	0	0	0
0.051	1	4	6	2	3	28	549	0	0	0
0.051	1	2	6	2	4	28	549	0	0	0
0.052	1	3	6	3	1	28	549	0	0	0
0.052	1	1	6	3	2	28	549	0	0	0
0.052	1	4	6	3	3	28	549	0	0	0
0.052	1	2	6	3	4	28	549	0	0	0
0.053	1	3	6	4	1	28	549	0	0	0
0.053	1	1	6	4	2	28	549	0	0	0
0.053	1	4	6	4	3	28	549	0	0	0
0.053	1	2	6	4	4	28	549	0	0	0
0.054	1	3	6	5	1	28	549	0	0	0
0.054	1	1	6	5	2	28	549	0	0	0
0.054	1	4	6	5	3	28	549	0	0	0
0.054	1	2	6	5	4	28	549	0	0	0
0.055	1	3	6	6	1	28	549	0	0	0
0.055	1	1	6	6	2	28	549	0	0	0
0.055	1	4	6	6	3	28	549	0	0	0
0.055	1	2	6	6	4	28	549	0	0	0
0.056	1	3	6	7	1	28	549	0	0	0
0.056	1	1	6	7	2	28	549	0	0	0
0.056	1	4	6	7	3	28	549	0	0	0
0.056	1	2	6	7	4	28	549	0	0	0
0.057	1	3	6	8	1	28	549	0	0	0
0.057	1	1	6	8	2	28	549	0	0	0
0.057	1	4	6	8	3	28	549	0	0	0
0.057	1	2	6	8	4	28	549	0	0	0
0.058	1	3	6	9	1	28	549	0	0	0
0.058	1	1	6	9	2	28	549	0	0	0
0.058	1	4	6	9	3	28	549	0	0	0
0.058	1	2	6	9	4	28	549	0	0	0
0.059	1	3	6	10	1	28	549	0	0	0
0.059	1	1	6	10	2	28	549	0	0	0
0.059	1	4	6	10	3	28	549	0	0	0
0.059	1	2	6	10	4	28	549	0	0	0
0.06	1	3	7	1	1	28	549	0	0	0
0.06	1	1	7	1	2	28	549	0	0	0
0.06	1	4	7	1	3	28	549	0	0	0
0.06	1	2	7	1	4	28	549	0	0	0
0.061	1	3	7	2	1	28	549	0	0	0
0.061	1	1	7	2	2	28	549	0	0	0
0.061	1	4	7	2	3	28	549	0	0	0
0.061	1	2	7	2	4	28	549	0	0	0
0.062	1	3	7	3	1	28	549	0	0	0
0.062	1	1	7	3	2	28	549	0	0	0
0.062	1	4	7	3	3	28	549	0	0	0
0.062	1	2	7	3	4	28	549	0	0	0
0.063	1	3	7	4	1	28	549	0	0	0
0.063	1	1	7	4	2	28	549	0	0	0
0.063	1	4	7	4	3	28	549	0	0	0
0.063	1	2	7	4	4	28	549	0	0	0
0.064	1	3	7	5	1	28	549	0	0	0
0.064	1	1	7	5	2	28	549	0	0	0
0.064	1	4	7	5	3	28	549	0	0	0
0.064	1	2	7	5	4	28	549	0	0	0
0.065	1	3	7	6	1	28	549	0	0	0
0.065	1	1	7	6	2	28	549	0	0	0
0.065	1	4	7	6	3	28	549	0	0	0
0.065	1	2	7	6	4	28	549	0	0	0
0.066	1	3	7	7	1	28	549	0	0	0
0.066	1	1	7	7	2	28	549	0	0	0
0.066	1	4	7	7	3	28	549	0	0	0
0.066	1	2	7	7	4	28	549	0	0	0
0.067	1	3	7	8	1	28	549	0	0	0
0.067	1	1	7	8	2	28	549	0	0	0
0.067	1	4	7	8	3	28	549	0	0	0
0.067	1	2	7	8	4	28	549	0	0	0
0.068	1	3	7	9	1	28	549	0	0	0
0.068	1	1	7	9	2	28	549	0	0	0
0.068	1	4	7	9	3	28	549	0	0	0
0.068	1	2	7	9	4	28	549	0	0	0
0.069	1	3	7	10	1	28	549	0	0	0
0.069	1	1	7	10	2	28	549	0	0	0
0.069	1	4	7	10	3	28	549	0	0	0
0.069	1	2	7	10	4	28	549	0	0	0
0.07	1	3	8	1	1	28	549	0	0	0
0.07	1	1	8	1	2	28	549	0	0	0
0.07	1	4	8	1	3	28	549	0	0	0
0.07	1	2	8	1	4	28	549	0	0	0
0.071	1	3	8	2	1	28	549	0	0	0
0.071	1	1	8	2	2	28	549	0	0	0
0.071	1	4	8	2	3	28	549	0	0	0
0.071	1	2	8	2	4	28	549	0	0	0
0.072	1	3	8	3	1	28	549	0	0	0
0.072	1	1	8	3	2	28	549	0	0	0
0.072	1	4	8	3	3	28	549	0	0	0
0.072	1	2	8	3	4	28	549	0	0	0
0.073	1	3	8	4	1	28	549	0	0	0
0.073	1	1	8	4	2	28	549	0	0	0
0.073	1	4	8	4	3	28	549	0	0	0
0.073	1	2	8	4	4	28	549	0	0	0
