% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
1.883	1	4	3	3354.36	0
1.884	1	2	4	3354.36	0
1.921	1	3	1	3354.36	0
1.922	1	1	2	1037.5	0
1.923	1	4	3	3354.36	0
1.924	1	2	4	3354.36	0
1.961	1	3	1	3354.36	0
1.962	1	1	2	1036.51	0
1.963	1	4	3	3354.36	0
1.964	1	2	4	3354.36	0
2.001	1	3	1	3354.36	0
2.002	1	1	2	1035.52	0
2.003	1	4	3	3354.36	0
2.004	1	2	4	3354.36	0
2.041	1	3	1	3354.36	0
2.042	1	1	2	1034.53	0
2.043	1	4	3	3354.36	0
2.044	1	2	4	3354.36	0
2.081	1	3	1	3354.36	0
2.082	1	1	2	1033.55	0
2.083	1	4	3	3354.36	0
2.084	1	2	4	3354.36	0
2.121	1	3	1	3354.36	0
2.122	1	1	2	1032.57	0
2.123	1	4	3	3354.36	0
2.124	1	2	4	3354.36	0
2.161	1	3	1	3354.36	0
2.162	1	1	2	1031.58	0
2.163	1	4	3	3354.36	0
2.164	1	2	4	3354.36	0
2.201	1	3	1	3354.36	0
2.202	1	1	2	1030.6	0
2.203	1	4	3	3354.36	0
2.204	1	2	4	3354.36	0
2.241	1	3	1	3354.36	0
2.242	1	1	2	1029.62	0
2.243	1	4	3	3354.36	0
2.244	1	2	4	3354.36	0
2.281	1	3	1	3354.36	0
2.282	1	1	2	1028.64	0
2.283	1	4	3	3354.36	0
2.284	1	2	4	3354.36	0
2.321	1	3	1	3354.36	0
2.322	1	1	2	1027.66	0
2.323	1	4	3	3354.36	0
2.324	1	2	4	3354.36	0
2.361	1	3	1	3354.36	0
2.362	1	1	2	1026.69	0
2.363	1	4	3	3354.36	0
2.364	1	2	4	3354.36	0
2.401	1	3	1	3354.36	0
2.402	1	1	2	1025.71	0
2.403	1	4	3	3354.36	0
2.404	1	2	4	3354.36	0
2.441	1	3	1	3354.36	0
2.442	1	1	2	1024.74	0
2.443	1	4	3	3354.36	0
2.444	1	2	4	3354.36	0
2.481	1	3	1	3354.36	0
2.482	1	1	2	1023.77	0
2.483	1	4	3	3354.36	0
2.484	1	2	4	3354.36	0
2.521	1	3	1	3354.36	0
2.522	1	1	2	1022.79	0
2.523	1	4	3	3354.36	0
2.524	1	2	4	3354.36	0
2.561	1	3	1	3354.36	0
2.562	1	1	2	1021.82	0
2.563	1	4	3	3354.36	0
2.564	1	2	4	3354.36	0
2.601	1	3	1	3354.36	0
2.602	1	1	2	1020.85	0
2.603	1	4	3	3354.36	0
2.604	1	2	4	3354.36	0
2.641	1	3	1	3354.36	0
2.642	1	1	2	1019.89	0
2.643	1	4	3	3354.36	0
2.644	1	2	4	3354.36	0
2.681	1	3	1	3354.36	0
2.682	1	1	2	1018.92	0
2.683	1	4	3	3354.36	0
2.684	1	2	4	3354.36	0
2.721	1	3	1	3354.36	0
2.722	1	1	2	1017.95	0
2.723	1	4	3	3354.36	0
2.724	1	2	4	3354.36	0
2.761	1	3	1	3354.36	0
2.762	1	1	2	1016.99	0
2.763	1	4	3	3354.36	0
2.764	1	2	4	3354.36	0
2.801	1	3	1	3354.36	0
2.802	1	1	2	1016.03	0
2.803	1	4	3	3354.36	0
2.804	1	2	4	3354.36	0
2.841	1	3	1	3354.36	0
2.842	1	1	2	1015.07	0
2.843	1	4	3	3354.36	0
2.844	1	2	4	3354.36	0
2.881	1	3	1	3354.36	0
2.882	1	1	2	1014.1	0
2.883	1	4	3	3354.36	0
2.884	1	2	4	3354.36	0
2.921	1	3	1	3354.36	0
2.922	1	1	2	1013.15	0
2.923	1	4	3	3354.36	0
2.924	1	2	4	3354.36	0
2.961	1	3	1	3354.36	0
2.962	1	1	2	1012.19	0
2.963	1	4	3	3354.36	0
2.964	1	2	4	3354.36	0
3.001	1	3	1	3354.36	0
3.002	1	1	2	1011.23	0
3.003	1	4	3	3354.36	0
3.004	1	2	4	3354.36	0
3.041	1	3	1	3354.36	0
3.042	1	1	2	1010.27	0
3.043	1	4	3	3354.36	0
3.044	1	2	4	3354.36	0
3.081	1	3	1	3354.36	0
3.082	1	1	2	1009.32	0
3.083	1	4	3	3354.36	0
3.084	1	2	4	3354.36	0
3.121	1	3	1	3354.36	0
3.122	1	1	2	1008.37	0
3.123	1	4	3	3354.36	0
3.124	1	2	4	3354.36	0
3.161	1	3	1	3354.36	0
3.162	1	1	2	1007.41	0
3.163	1	4	3	3354.36	0
3.164	1	2	4	3354.36	0
3.201	1	3	1	3354.36	0
3.202	1	1	2	1006.46	0
3.203	1	4	3	3354.36	0
3.204	1	2	4	3354.36	0
3.241	1	3	1	3354.36	0
3.242	1	1	2	1005.51	0
3.243	1	4	3	3354.36	0
3.244	1	2	4	3354.36	0
3.281	1	3	1	3354.36	0
3.282	1	1	2	1004.56	0
3.283	1	4	3	3354.36	0
3.284	1	2	4	3354.36	0
3.321	1	3	1	3354.36	0
3.322	1	1	2	1003.62	0
3.323	1	4	3	3354.36	0
3.324	1	2	4	3354.36	0
3.361	1	3	1	3354.36	0
3.362	1	1	2	1002.67	0
3.363	1	4	3	3354.36	0
3.364	1	2	4	3354.36	0
3.401	1	3	1	3354.36	0
3.402	1	1	2	1001.73	0
3.403	1	4	3	3354.36	0
3.404	1	2	4	3354.36	0
3.441	1	3	1	3354.36	0
3.442	1	1	2	1000.78	0
3.443	1	4	3	3354.36	0
3.444	1	2	4	3354.36	0
3.481	1	3	1	3354.36	0
3.482	1	1	2	999.839	0
3.483	1	4	3	3354.36	0
3.484	1	2	4	3354.36	0
3.521	1	3	1	3354.36	0
3.522	1	1	2	998.898	0
3.523	1	4	3	3354.36	0
3.524	1	2	4	3354.36	0
3.561	1	3	1	3354.36	0
3.562	1	1	2	997.957	0
3.563	1	4	3	3354.36	0
3.564	1	2	4	3354.36	0
3.601	1	3	1	3354.36	0
3.602	1	1	2	997.018	0
3.603	1	4	3	3354.36	0
3.604	1	2	4	3354.36	0
3.641	1	3	1	3354.36	0
3.642	1	1	2	996.08	0
3.643	1	4	3	3354.36	0
3.644	1	2	4	3354.36	0
3.681	1	3	1	3354.36	0
3.682	1	1	2	995.143	0
3.683	1	4	3	3354.36	0
3.684	1	2	4	3354.36	0
3.721	1	3	1	3354.36	0
3.722	1	1	2	994.208	0
3.723	1	4	3	3354.36	0
3.724	1	2	4	3354.36	0
3.761	1	3	1	3354.36	0
3.762	1	1	2	993.273	0
3.763	1	4	3	3354.36	0
